n,tempo_ms,Ologn,On,Onlogn,On2,On3,O2n
642,4.6468e-05,9.32643,642,5987.57,412164,2.64609e+08,1.04858e+06
644,4.6752e-05,9.33092,644,6009.11,414736,2.6709e+08,1.04858e+06
646,4.7046e-05,9.33539,646,6030.66,417316,2.69586e+08,1.04858e+06
648,4.6389e-05,9.33985,648,6052.22,419904,2.72098e+08,1.04858e+06
650,4.6525e-05,9.3443,650,6073.79,422500,2.74625e+08,1.04858e+06
652,4.482e-05,9.34873,652,6095.37,425104,2.77168e+08,1.04858e+06
654,4.4746e-05,9.35315,654,6116.96,427716,2.79726e+08,1.04858e+06
656,4.4863e-05,9.35755,656,6138.55,430336,2.823e+08,1.04858e+06
658,4.4883e-05,9.36194,658,6160.16,432964,2.8489e+08,1.04858e+06
660,4.5855e-05,9.36632,660,6181.77,435600,2.87496e+08,1.04858e+06
662,4.666e-05,9.37069,662,6203.4,438244,2.90118e+08,1.04858e+06
664,4.6517e-05,9.37504,664,6225.03,440896,2.92755e+08,1.04858e+06
666,4.4858e-05,9.37938,666,6246.67,443556,2.95408e+08,1.04858e+06
668,4.4708e-05,9.3837,668,6268.31,446224,2.98078e+08,1.04858e+06
670,4.4723e-05,9.38802,670,6289.97,448900,3.00763e+08,1.04858e+06
672,9.314e-05,9.39232,672,6311.64,451584,3.03464e+08,1.04858e+06
674,5.0162e-05,9.3966,674,6333.31,454276,3.06182e+08,1.04858e+06
676,4.5563e-05,9.40088,676,6354.99,456976,3.08916e+08,1.04858e+06
678,6.2519e-05,9.40514,678,6376.69,459684,3.11666e+08,1.04858e+06
680,5.2103e-05,9.40939,680,6398.39,462400,3.14432e+08,1.04858e+06
682,4.821e-05,9.41363,682,6420.09,465124,3.17215e+08,1.04858e+06
684,4.4721e-05,9.41785,684,6441.81,467856,3.20014e+08,1.04858e+06
686,4.4774e-05,9.42206,686,6463.54,470596,3.22829e+08,1.04858e+06
688,4.7884e-05,9.42626,688,6485.27,473344,3.25661e+08,1.04858e+06
690,4.4809e-05,9.43045,690,6507.01,476100,3.28509e+08,1.04858e+06
692,4.4562e-05,9.43463,692,6528.76,478864,3.31374e+08,1.04858e+06
694,4.4413e-05,9.43879,694,6550.52,481636,3.34255e+08,1.04858e+06
696,4.4619e-05,9.44294,696,6572.29,484416,3.37154e+08,1.04858e+06
698,4.4748e-05,9.44708,698,6594.06,487204,3.40068e+08,1.04858e+06
700,4.4598e-05,9.45121,700,6615.85,490000,3.43e+08,1.04858e+06
702,4.4779e-05,9.45533,702,6637.64,492804,3.45948e+08,1.04858e+06
704,4.4798e-05,9.45943,704,6659.44,495616,3.48914e+08,1.04858e+06
706,4.4743e-05,9.46352,706,6681.25,498436,3.51896e+08,1.04858e+06
708,4.4726e-05,9.46761,708,6703.06,501264,3.54895e+08,1.04858e+06
710,4.4741e-05,9.47168,710,6724.89,504100,3.57911e+08,1.04858e+06
712,4.5372e-05,9.47573,712,6746.72,506944,3.60944e+08,1.04858e+06
714,4.5872e-05,9.47978,714,6768.56,509796,3.63994e+08,1.04858e+06
716,5.0483e-05,9.48382,716,6790.41,512656,3.67062e+08,1.04858e+06
718,4.6523e-05,9.48784,718,6812.27,515524,3.70146e+08,1.04858e+06
720,4.6388e-05,9.49185,720,6834.13,518400,3.73248e+08,1.04858e+06
722,4.646e-05,9.49586,722,6856.01,521284,3.76367e+08,1.04858e+06
724,4.6252e-05,9.49985,724,6877.89,524176,3.79503e+08,1.04858e+06
726,4.6409e-05,9.50383,726,6899.78,527076,3.82657e+08,1.04858e+06
728,4.5127e-05,9.50779,728,6921.67,529984,3.85828e+08,1.04858e+06
730,4.3509e-05,9.51175,730,6943.58,532900,3.89017e+08,1.04858e+06
732,4.4867e-05,9.5157,732,6965.49,535824,3.92223e+08,1.04858e+06
734,4.4656e-05,9.51964,734,6987.41,538756,3.95447e+08,1.04858e+06
736,4.363e-05,9.52356,736,7009.34,541696,3.98688e+08,1.04858e+06
738,4.3516e-05,9.52748,738,7031.28,544644,4.01947e+08,1.04858e+06
740,4.7614e-05,9.53138,740,7053.22,547600,4.05224e+08,1.04858e+06
742,4.3692e-05,9.53528,742,7075.17,550564,4.08518e+08,1.04858e+06
744,4.3636e-05,9.53916,744,7097.13,553536,4.11831e+08,1.04858e+06
746,4.3496e-05,9.54303,746,7119.1,556516,4.15161e+08,1.04858e+06
748,4.5606e-05,9.54689,748,7141.08,559504,4.18509e+08,1.04858e+06
750,4.6222e-05,9.55075,750,7163.06,562500,4.21875e+08,1.04858e+06
752,6.5201e-05,9.55459,752,7185.05,565504,4.25259e+08,1.04858e+06
754,4.5351e-05,9.55842,754,7207.05,568516,4.28661e+08,1.04858e+06
756,4.539e-05,9.56224,756,7229.06,571536,4.32081e+08,1.04858e+06
758,4.5379e-05,9.56605,758,7251.07,574564,4.3552e+08,1.04858e+06
760,4.5379e-05,9.56986,760,7273.09,577600,4.38976e+08,1.04858e+06
762,4.5385e-05,9.57365,762,7295.12,580644,4.42451e+08,1.04858e+06
764,4.4725e-05,9.57743,764,7317.16,583696,4.45944e+08,1.04858e+06
